SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
SAGR,Salix gracilistyla,Rosegold pussy willow,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
SAMA,Salix matsudana,Corkscrew willow,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
SANI,Salix nigra,Black willow,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
SAPA,Sabal palmetto,Cabbage palmetto,PEM,WARO,50,0,4,90,15,PiedmtCLT
SAPE12,Salix x pendulina Wenderoth,Wisconsin weeping willow,BDM,BDM OTHER,75,66,0,530,7.0650048828125,PiedmtCLT
SERE2,Serenoa repens,Saw palmetto,PES,PES OTHER,50,0,4,90,15,PiedmtCLT
SOAU,Sorbus aucuparia,European mountain ash,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
SOJA,Sophora japonica,Japanese pagoda tree,BDM,BDM OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
STJA,Styrax japonicus,Japanese snowbell,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
SYRE,Syringa reticulata,Japanese tree lilac,BDS,BDS OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
SYSP,Syringa spp,Lilac,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
TADI,Taxodium distichum,Baldcypress,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
THOC,Thuja occidentalis,Northern white cedar,CEM,CEM OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
THPL,Thuja plicata,Western red cedar,CEL,CEL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
TIAM,Tilia americana,American basswood,BDL,BDL OTHER,60,66,0,530,7.0650048828125,PiedmtCLT
TICO,Tilia cordata,Littleleaf linden,BDM,BDM OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
TOTA,Torreya taxifolia,Florida torreya,CES,CES OTHER,70,66,0,530,7.0650048828125,PiedmtCLT
TRSE6,Sapium sebiferum,Tallowtree,BDS,BDS OTHER,35,66,0,530,7.0650048828125,PiedmtCLT
TSCA,Tsuga canadensis,Eastern hemlock,CEM,CEM OTHER,65,66,0,530,7.0650048828125,PiedmtCLT
ULAL,Ulmus alata,Winged elm,BDL,ULAL,50,66,0,530,7.0650048828125,PiedmtCLT
ULAM,Ulmus americana,American elm,BDL,BDL OTHER,35,66,0,530,7.0650048828125,PiedmtCLT
